ID,2007NA1,2007NA2,2007NA3,2007NA4,2007NA5,2007NAK,2008NA1,2008NA2,2008NA3,2008NA4,2008NA5,2008NAK,2009NA1,2009NA2,2009NA3,2009NA4,2009NA5,2009NAK,2010NA1,2010NA2,2010NA3,2010NA4,2010NA5,2010NAK,High,Medium,Low,E07NA1,E07NA2,E07NA3,E07NA4,E07NA5,E07NAK,E08NA1,E08NA2,E08NA3,E08NA4,E08NA5,E08NAK,E09NA1,E09NA2,E09NA3,E09NA4,E09NA5,E09NAK,E10NA1,E10NA2,E10NA3,E10NA4,E10NA5,E10NAK
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,14.38,14.38,14.38,14.38,14.38,0.00,14.87,14.87,14.87,14.87,14.87,0.00,16.16,16.16,16.16,16.16,16.16,0.00,13.51,13.51,13.51,13.51,13.51,0.00
2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,21.89,21.89,21.89,21.89,21.89,0.00,21.99,21.99,21.99,21.99,21.99,0.00,20.52,20.52,20.52,20.52,20.52,0.00,20.79,20.79,20.79,20.79,20.79,0.00
3,1,0,0,1,0,0,1,1,0,0,1,0,1,1,1,1,0,0,0,1,1,0,1,0,1,0,0,22.02,22.02,22.02,22.02,22.02,0.00,22.11,22.11,22.11,22.11,22.11,0.00,20.52,20.52,20.52,20.52,20.52,0.00,20.88,20.88,20.88,20.88,20.88,0.00
4,0,0,0,0,1,0,1,0,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,0,1,0,0,21.37,21.37,21.37,21.37,21.37,0.00,21.46,21.46,21.46,21.46,21.46,0.00,19.67,19.67,19.67,19.67,19.67,0.00,19.86,19.86,19.86,19.86,19.86,0.00
5,1,0,1,0,1,0,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,0,0,16.80,16.80,16.80,16.80,16.80,0.00,16.82,16.82,16.82,16.82,16.82,0.00,13.69,13.69,13.69,13.69,13.69,0.00,12.66,12.66,12.66,12.66,12.66,0.00
6,0,1,1,1,0,0,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,2,0,1,0,13.52,13.52,13.52,13.52,13.52,0.00,15.03,15.03,15.03,15.03,15.03,0.00,12.84,12.84,12.84,12.84,12.84,0.00,11.91,11.91,11.91,11.91,11.91,0.00
7,0,0,0,1,1,0,1,0,1,1,1,2,0,1,1,0,1,2,1,1,1,1,1,2,1,0,0,11.82,11.82,11.82,11.82,11.82,0.00,14.10,14.10,14.10,14.10,14.10,0.00,12.42,12.42,12.42,12.42,12.42,0.00,11.53,11.53,11.53,11.53,11.53,0.00
8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,11.82,11.82,11.82,11.82,11.82,0.00,14.10,14.10,14.10,14.10,14.10,0.00,12.42,12.42,12.42,12.42,12.42,0.00,11.53,11.53,11.53,11.53,11.53,0.00
9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,2,1,0,0,10.27,10.27,10.27,10.27,10.27,0.00,10.59,10.59,10.59,10.59,10.59,0.00,10.97,10.97,10.97,10.97,10.97,0.00,8.72,8.72,8.72,8.72,8.72,0.00
10,0,0,1,1,1,2,1,1,1,1,1,0,1,1,1,1,1,2,1,1,1,1,1,2,1,0,0,16.85,16.85,16.85,16.85,16.85,0.00,18.43,18.43,18.43,18.43,18.43,0.00,18.37,18.37,18.37,18.37,18.37,0.00,15.96,15.96,15.96,15.96,15.96,0.00
11,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,20.96,20.96,20.96,20.96,20.96,0.00,21.12,21.12,21.12,21.12,21.12,0.00,20.56,20.56,20.56,20.56,20.56,0.00,20.06,20.06,20.06,20.06,20.06,0.00
