Sampling.Unit;Area;X;Y;EL;SL;ROU;ASP;Dis;RAI.dom;CT.sens;;
CT-MON-1-01;SB;89,90957;49,86046;2268;7,51568;11;S;941;0,511627907;medium;;
CT-MON-1-02;SB;89,88716;49,86163;2410;26,6459;41;N;2558;0,595238095;medium;;
CT-MON-1-03;SB;89,86213;49,86175;2588;10,16113;32;E;4353;0,023809524;medium;;
CT-MON-1-04;SB;89,87069;49,89571;2343;6,79643;12;N;3500;5,697674419;medium;;
CT-MON-1-05;SB;89,84061;49,88697;2431;24,82013;47;N;5348;0,023255814;medium;;
CT-MON-1-06;SB;89,81901;49,88338;2450;12,83498;29;W;6874;0,744186047;medium;;
CT-MON-1-07;SB;89,90083;49,83954;2407;12,91078;36;N;2128;0,404761905;medium;;
CT-MON-1-08;SB;89,9132;49,82942;2493;25,18979;40;S;1727;0,023809524;medium;;
CT-MON-1-09;SB;89,90074;49,88335;2506;13,01027;28;S;1003;0,609756098;medium;;
CT-MON-1-10;SB;89,79793;49,94578;2316;7,17927;17;S;731;0;medium;;
CT-MON-1-11;SB;89,78975;49,93182;2493;18,06786;47;N;2314;0;medium;;
CT-MON-1-12;SB;89,8669;49,94882;2326;16,6979;32;S;958;0,043478261;medium;;
CT-MON-1-13;SB;89,69598;49,92337;2373;15,8861;26;S;8435;0;medium;;
CT-MON-1-14;SB;89,71737;49,91637;2791;34,79662;88;N;7371;0;medium;;
CT-MON-1-15;SB;89,71503;49,942;2296;1,29768;5;N;6592;0,022727273;medium;;
CT-MON-1-16;SB;89,88926;49,91824;2645;18,33894;38;E;3254;0,025641026;medium;;
CT-MON-1-17;SB;89,79887;49,87575;2490;2,80554;9;E;8359;0;medium;;
CT-MON-1-18;SB;89,77578;49,86698;2594;7,19304;21;S;10118;0;medium;;
CT-MON-1-19;SB;89,89409;49,92981;2522;8,96677;28;S;2583;0,435897436;medium;;
CT-MON-1-20;SB;89,68631;49,83962;2592;16,77322;27;W;13358;0;medium;;
CT-MON-1-22;SB;89,687;49,87967;2376;14,86642;32;E;11596;0;medium;;
CT-MON-1-23;SB;89,88305;49,88416;2850;20,29232;35;S;2282;0;medium;;
CT-MON-1-24;SB;89,86247;49,9405;2436;10,28429;22;E;1865;0;medium;;
CT-MON-1-25;SB;89,76124;49,94814;2231;9,99759;21;N;3227;0,358974359;medium;;
CT-MON-1-26;SB;89,68189;49,93398;2379;14,02968;33;S;9083;0;medium;;
CT-MON-2-01;SB;89,75753;49,73069;2959;10,52286;30;E;7781;0;medium;;
CT-MON-2-02;SB;89,77233;49,72696;2869;5,67441;12;S;6638;0;medium;;
CT-MON-2-03;SB;89,82988;49,72032;2500;13,36237;25;W;2479;0,411764706;medium;;
CT-MON-2-04;SB;89,8491;49,71825;2448;32,1146;60;S;1207;0,291666667;medium;;
CT-MON-2-05;SB;89,85744;49,76736;2611;14,48827;31;E;3923;0,044776119;medium;;
CT-MON-2-06;SB;89,87374;49,73485;2572;11,34725;24;S;2843;0,450980392;medium;;
CT-MON-2-07;SB;89,82603;49,8359;2905;2,79355;7;W;2902;0;medium;;
CT-MON-2-08;SB;89,84934;49,8241;2688;18,75481;34;N;3539;0,020408163;medium;;
CT-MON-2-09;SB;89,68315;49,82214;2595;6,14646;17;W;1522;0,020408163;medium;;
CT-MON-2-10;SB;89,86;49,8075;3123;3,68424;11;N;13449;0;medium;;
CT-MON-2-11;SB;89,86287;49,79125;2994;2,95704;6;S;1777;0;medium;;
CT-MON-2-12;SB;89,86227;49,75305;2728;19,48758;60;N;3468;0,019607843;medium;;
CT-MON-2-13;SB;89,83417;49,76611;2591;9,91962;19;W;3525;0;medium;;
CT-MON-2-14;SB;89,88414;49,74953;2571;32,91286;105;S;5553;0,31372549;medium;;
CT-MON-2-15;SB;89,80543;49,76773;2653;10,88625;19;S;2155;0;medium;;
CT-MON-2-16;SB;89,93388;49,78974;2556;15,6547;28;W;7570;0,039215686;medium;;
CT-MON-2-17;SB;89,90134;49,80191;2954;4,09732;18;N;2109;0,098039216;medium;;
CT-MON-2-18;SB;89,88225;49,78822;2857;4,58993;10;N;2520;0,058823529;medium;;
